country,gdppercapita2012
Aruba,23800
Afghanistan,576
Angola,3750
Albania,4280
Andorra,39800
United Arab Emirates,35400
Argentina,10600
Armenia,3600
American Samoa,9850
Antigua and Barbuda,12900
Australia,53700
Austria,48200
Azerbaijan,5730
Burundi,239
Belgium,44400
Benin,1060
Burkina Faso,692
Bangladesh,866
Bulgaria,7080
Bahrain,20900
Bahamas,28800
Bosnia and Herzegovina,4770
Belarus,6480
Belize,4250
Bermuda,93300
Bolivia,2090
Brazil,11700
Barbados,15800
Brunei,36000
Bhutan,2500
Botswana,6940
Central African Republic,529
Canada,48900
Switzerland,77800
Chile,14000
China,5330
Cote d'Ivoire,1220
Cameroon,1330
"Congo, Dem. Rep.",358
"Congo, Rep.",3270
Colombia,6910
Comoros,1350
Cape Verde,3460
Costa Rica,8800
Cuba,6050
Cayman Islands,72200
Cyprus,28900
Czech Republic,20100
Germany,44100
Djibouti,
Dominica,6870
Denmark,58500
Dominican Republic,5750
Algeria,4590
Ecuador,5120
Egypt,2640
Eritrea,
Spain,29200
Estonia,16500
Ethiopia,390
Finland,46500
Fiji,3780
France,41300
Faeroe Islands,
"Micronesia, Fed. Sts.",2880
Gabon,9260
Isle of Man,76700
United Kingdom,40000
Georgia,3750
Ghana,1540
Guinea,720
Gambia,783
Guinea-Bissau,563
Equatorial Guinea,18300
Greece,22400
Grenada,7150
Greenland,44500
Guatemala,2950
Guam,31600
Guyana,5040
"Hong Kong, China",34100
Honduras,1980
Croatia,13700
Haiti,1210
Hungary,13400
Indonesia,3420
India,1470
Ireland,48600
Iran,6120
Iraq,5320
Iceland,44100
Israel,31700
Italy,35000
Jamaica,4700
Jordan,3530
Japan,45300
Kazakhstan,9920
Kenya,1000
Kyrgyz Republic,905
Cambodia,874
Kiribati,1560
St. Kitts and Nevis,15200
South Korea,24200
Kuwait,40300
Lao,1290
Lebanon,7180
Liberia,565
Libya,10100
St. Lucia,8860
Liechtenstein,
Sri Lanka,3290
Lesotho,1230
Lithuania,13700
Luxembourg,102000
Latvia,13000
"Macao, China",66500
Morocco,3000
Monaco,159000
Moldova,2570
Madagascar,467
Maldives,7250
Mexico,9690
Marshall Islands,2750
North Macedonia,4620
Mali,685
Malta,22500
Myanmar,1140
Montenegro,6700
Mongolia,3350
Northern Mariana Islands,13700
Mozambique,515
Mauritania,1650
Mauritius,8580
Malawi,483
Malaysia,9740
Namibia,5750
Niger,499
Nigeria,2370
Nicaragua,1660
Netherlands,50800
Norway,88600
Nepal,640
Nauru,5750
New Zealand,34700
Oman,18200
Pakistan,1010
Panama,9540
Peru,5640
Philippines,2380
Palau,11400
Papua New Guinea,1980
Poland,13400
Puerto Rico,27000
Portugal,21300
Paraguay,4390
Palestine,2830
Qatar,67700
Romania,8620
Russia,11600
Rwanda,681
Saudi Arabia,21000
Sudan,1830
Senegal,1270
Singapore,50100
Solomon Islands,1660
Sierra Leone,470
El Salvador,3160
San Marino,49900
Serbia,5890
South Sudan,742
Sao Tome and Principe,1120
Suriname,8770
Slovak Republic,17500
Slovenia,23000
Sweden,53400
Eswatini,4430
Seychelles,12000
Turks and Caicos Islands,
Chad,909
Togo,574
Thailand,5440
Tajikistan,827
Turkmenistan,5460
Timor-Leste,873
Tonga,3850
Trinidad and Tobago,16600
Tunisia,4150
Turkey,12100
Tuvalu,3060
Tanzania,788
Uganda,873
Ukraine,3150
Uruguay,13000
United States,49600
Uzbekistan,1810
St. Vincent and the Grenadines,6340
Venezuela,14700
Virgin Islands (U.S.),31300
Vietnam,1440
Vanuatu,2800
Samoa,3500
Yemen,1130
South Africa,7500
Zambia,1590
Zimbabwe,1220
