country,population2012
Afghanistan,31200000
Angola,25100000
Albania,2910000
Andorra,82400
United Arab Emirates,9140000
Argentina,41800000
Armenia,2880000
Antigua and Barbuda,90400
Australia,22900000
Austria,8500000
Azerbaijan,9260000
Burundi,9250000
Belgium,11100000
Benin,9730000
Burkina Faso,16600000
Bangladesh,151000000
Bulgaria,7330000
Bahrain,1300000
Bahamas,364000
Bosnia and Herzegovina,3600000
Belarus,9420000
Belize,338000
Bolivia,10400000
Brazil,199000000
Barbados,284000
Brunei,399000
Bhutan,702000
Botswana,2040000
Central African Republic,4440000
Canada,34900000
Switzerland,8010000
Chile,17400000
China,1380000000
Cote d'Ivoire,21500000
Cameroon,21500000
"Congo, Dem. Rep.",69000000
"Congo, Rep.",4510000
Colombia,46100000
Comoros,724000
Cape Verde,505000
Costa Rica,4690000
Cuba,11300000
Cyprus,1140000
Czech Republic,10600000
Germany,81000000
Djibouti,868000
Dominica,71000
Denmark,5610000
Dominican Republic,9930000
Algeria,37400000
Ecuador,15500000
Egypt,86400000
Eritrea,3250000
Spain,47100000
Estonia,1320000
Ethiopia,92700000
Finland,5410000
Fiji,865000
France,63600000
"Micronesia, Fed. Sts.",105000
Gabon,1750000
United Kingdom,64500000
Georgia,4060000
Ghana,26000000
Guinea,10700000
Gambia,1910000
Guinea-Bissau,1600000
Equatorial Guinea,1030000
Greece,10800000
Grenada,107000
Guatemala,15300000
Guyana,755000
"Hong Kong, China",7050000
Honduras,8640000
Holy See,786
Croatia,4300000
Haiti,10300000
Hungary,9860000
Indonesia,248000000
India,1270000000
Ireland,4610000
Iran,75500000
Iraq,31900000
Iceland,326000
Israel,7610000
Italy,59900000
Jamaica,2840000
Jordan,8090000
Japan,128000000
Kazakhstan,16800000
Kenya,44300000
Kyrgyz Republic,5620000
Cambodia,14800000
Kiribati,106000
St. Kitts and Nevis,49900
South Korea,50100000
Kuwait,3350000
Lao,6440000
Lebanon,5540000
Liberia,4140000
Libya,6290000
St. Lucia,177000
Liechtenstein,36600
Sri Lanka,20500000
Lesotho,2010000
Lithuania,3050000
Luxembourg,531000
Latvia,2070000
Morocco,33200000
Monaco,36500
Moldova,4080000
Madagascar,22300000
Maldives,397000
Mexico,117000000
Marshall Islands,56700
North Macedonia,2070000
Mali,16000000
Malta,422000
Myanmar,51400000
Montenegro,626000
Mongolia,2820000
Mozambique,24900000
Mauritania,3710000
Mauritius,1250000
Malawi,15400000
Malaysia,29100000
Namibia,2190000
Niger,17800000
Nigeria,167000000
Nicaragua,5980000
Netherlands,16800000
Norway,5010000
Nepal,27000000
Nauru,10100
New Zealand,4470000
Oman,3500000
Pakistan,187000000
Panama,3770000
Peru,29500000
Philippines,97200000
Palau,17600
Papua New Guinea,7630000
Poland,38200000
North Korea,24800000
Portugal,10500000
Paraguay,6420000
Palestine,4240000
Qatar,2200000
Romania,20200000
Russia,144000000
Rwanda,10500000
Saudi Arabia,29200000
Sudan,36200000
Senegal,13400000
Singapore,5370000
Solomon Islands,556000
Sierra Leone,6710000
El Salvador,6240000
San Marino,32100
Somalia,12700000
Serbia,8940000
South Sudan,10100000
Sao Tome and Principe,188000
Suriname,541000
Slovak Republic,5410000
Slovenia,2060000
Sweden,9540000
Eswatini,1080000
Seychelles,92600
Syria,20400000
Chad,12800000
Togo,6770000
Thailand,67800000
Tajikistan,7870000
Turkmenistan,5270000
Timor-Leste,1130000
Tonga,103000
Trinidad and Tobago,1340000
Tunisia,10800000
Turkey,74700000
Tuvalu,10700
Taiwan,23300000
Tanzania,47100000
Uganda,34600000
Ukraine,45500000
Uruguay,3380000
United States,314000000
Uzbekistan,29400000
St. Vincent and the Grenadines,108000
Venezuela,29400000
Vietnam,89800000
Vanuatu,250000
Samoa,189000
Yemen,24500000
South Africa,52800000
Zambia,14500000
Zimbabwe,13100000
